# Hydro quantities of SFHo-s18.80-MUONS at time t_pb= 1.0001996s
shock radius= 8710.0523 km, gain radius= 21.053746 km
# cols=25 rows=1088 format=(x,f18.4,f18.14,3e18.10,f18.10,e18.10,18f18.10)
#            radius   mass coordinate           density   internal energy       temperature           entropy   radial velocity       grav. lapse             mu_nu              mu_e              mu_n              mu_p             mu_mu           mu_numu               X_n               X_p           X_alpha           X_Light           X_Heavy               Y_e              Y_mu               U_n               U_p              m*_n              m*_p
#              [cm]           [m_sol]          [g/cm^3]        [erg/cm^3]             [MeV]             [k_b]            [cm/s]               [1]             [MeV]             [MeV]             [MeV]             [MeV]             [MeV]             [MeV]            [1/by]            [1/by]            [1/by]            [1/by]            [1/by]            [1/by]            [1/by]             [MeV]             [MeV]             [MeV]             [MeV]
        445672.8125  0.10069172364653  5.0682962970e+14  3.1187891704e+34  2.3685568299e+01      1.4769362106 -6.3174141243e+02      0.7542363030    134.6808741462    238.5974737684     70.3628235994    -32.2604859320     53.3006655944    -50.6159340278      0.7844179739      0.2155820261      0.0000000000      0.0000000000      0.0000000000      0.2145394275      0.0010425986    -36.3832041331    -69.4452885923    580.7244601079    579.4311700172
        458319.0938  0.10892816656996  5.0184704958e+14  3.0849229055e+34  2.4042035918e+01      1.5061185329 -1.3666955703e+03      0.7552232957    133.5770387802    237.4817296296     68.5395042625    -34.0718964960     53.9014301022    -50.0032607471      0.7844970465      0.2155029535      0.0000000000      0.0000000000      0.0000000000      0.2143606191      0.0011423344    -36.8224813530    -70.1473865910    583.3715462108    582.0782561200
        471324.2188  0.11779357219081  4.9645946801e+14  3.0523128297e+34  2.4429754300e+01      1.5382282035 -1.1318661679e+03      0.7562632767    132.3745383418    236.2644948745     66.8239443290    -35.7727221128     54.5565802753    -49.3333762573      0.7845310452      0.2154689548      0.0000000000      0.0000000000      0.0000000000      0.2142086592      0.0012602956    -37.1284636387    -70.6980572105    586.1644429884    584.8711528976
        484698.3750  0.12732750576825  4.9070568491e+14  3.0191761014e+34  2.4850017542e+01      1.5730590171 -4.6825677914e+02      0.7573587449    131.0690230735    234.9279449287     64.9959141554    -37.5697176090     55.2563981858    -48.6025236694      0.7845191996      0.2154808004      0.0000000000      0.0000000000      0.0000000000      0.2140782111      0.0014025893    -37.4419219690    -71.2653074008    589.1659639163    587.8726738255
        498452.0312  0.13757088381297  4.8454099785e+14  2.9846385619e+34  2.5305621520e+01      1.6112005734 -1.4428280646e+03      0.7585123181    129.6404409813    233.4855931088     62.9950807474    -39.5567812893     56.0409424049    -47.8042097226      0.7845008264      0.2154991736      0.0000000000      0.0000000000      0.0000000000      0.2139328666      0.0015663070    -37.7765435141    -71.8745626630    592.4265091383    591.1332190475
        512595.9531  0.14856463528747  4.7789647743e+14  2.9489507544e+34  2.5804638303e+01      1.6535759516 -1.0496194881e+03      0.7597266554    128.0741104766    231.9256406928     60.7793404688    -41.7788996566     56.9271174454    -46.9244127708      0.7844491498      0.2155508502      0.0000000000      0.0000000000      0.0000000000      0.2137903522      0.0017604979    -38.1327704241    -72.5268469390    595.9972456419    594.7039555511
        527141.2031  0.16035052230344  4.7083598147e+14  2.9114671880e+34  2.6350678514e+01      1.6996122726 -1.1768788399e+03      0.7610043668    126.3448726793    230.2235100823     58.3862158473    -44.1991314649     57.9237414837    -45.9548959193      0.7844253640      0.2155746360      0.0000000000      0.0000000000      0.0000000000      0.2135683236      0.0020063125    -38.5192853693    -73.2364650298    599.8434077739    598.5501176831
        542099.1875  0.17297143772273  4.6333746433e+14  2.8722356027e+34  2.6947227156e+01      1.7494782626 -5.1723589897e+02      0.7623480689    124.4327461780    228.3646285878     55.8007266044    -46.8378657147     59.0449933525    -44.8868890573      0.7844412227      0.2155587773      0.0000000000      0.0000000000      0.0000000000      0.2132636457      0.0022951316    -38.9396757918    -74.0106582372    603.9877087064    602.6944186156
        557481.6250  0.18646871200624  4.5529204193e+14  2.8327215661e+34  2.7595012279e+01      1.8039112469 -5.3932193487e+03      0.7637605135    122.2977791894    226.2855850932     53.0660134390    -49.6285023740     60.2718904701    -43.7159154337      0.7844276508      0.2155723492      0.0000000000      0.0000000000      0.0000000000      0.2129230434      0.0026493058    -39.3440101091    -74.7794989556    608.4583205270    607.1650304362
        573300.5625  0.20087586608910  4.4635741291e+14  2.7951966777e+34  2.8298177093e+01      1.8657558909 -7.3670308420e+02      0.7652444853    119.9307746055    223.9753993671     50.2539455503    -52.4973891205     61.6139447626    -42.4306799990      0.7842270995      0.2157729005      0.0000000000      0.0000000000      0.0000000000      0.2126895919      0.0030833086    -39.5732964102    -75.3341621593    613.3660842523    612.0727941615
